Red	NiñosEnElHogar	Porcentaje 
Facebook 	Si	36
Facebook 	No	64
Otra	Si	11
Otra	No	89
Digg	Si	22
Digg	No	78
Docstoc	Si	19
Docstoc	No	81
Flickr	Si	28
Flickr	No	72
Frienfeed	Si	10
Frienfeed	No	90
Linkedin	Si	10
Linkedin	No	90
Mixx	Si	24
Mixx	No	76
MySpace	Si	57
MySpace	No	43
Ning 	Si	36
Ning 	No	64
Qik	Si	22
Qik	No	78
Scribd	Si	21
Scribd	No	79
Twitter	Si	28
Twitter	No	72
Otra2	Si	59
Otra2	No	41
UstreamTV	Si	34
UstreamTV	No	66
Yelp 	Si	15
Yelp 	No	85
Youtube 	Si	43
Youtube 	No	57
