Red	NiñosEnElHogar	Porcentaje 
Facebook 	Sí	36
Facebook 	No	64
Otra	Sí	11
Otra	No	89
Digg	Sí	22
Digg	No	78
Docstoc	Sí	19
Docstoc	No	81
Flickr	Sí	28
Flickr	No	72
Frienfeed	Sí	10
Frienfeed	No	90
Linkedin	Sí	10
Linkedin	No	90
Mixx	Sí	24
Mixx	No	76
MySpace	Sí	57
MySpace	No	43
Ning 	Sí	36
Ning 	No	64
Qik	Sí	22
Qik	No	78
Scribd	Sí	21
Scribd	No	79
Twitter	Sí	28
Twitter	No	72
Otra2	Sí	59
Otra2	No	41
UstreamTV	Sí	34
UstreamTV	No	66
Yelp 	Sí	15
Tyelp 	No	85
Youtube 	Sí	43
Youtube 	No	57
